CustomerID,Recommendations
C0001,"[('C0192', 0.8946394502886589), ('C0184', 0.8439526517204075), ('C0120', 0.788382696262193)]"
C0002,"[('C0134', 0.9421769087781718), ('C0106', 0.9281192197486611), ('C0029', 0.8344376946853383)]"
C0003,"[('C0031', 0.9398506720448854), ('C0052', 0.9318370062367196), ('C0151', 0.8808666772270531)]"
C0004,"[('C0165', 0.9742530245757335), ('C0153', 0.8612990710020779), ('C0175', 0.84638163754151)]"
C0005,"[('C0007', 0.9271524635204714), ('C0140', 0.8730944205744388), ('C0186', 0.791708743668009)]"
C0006,"[('C0187', 0.912019187878102), ('C0137', 0.8560606075183769), ('C0085', 0.8559799988718523)]"
C0007,"[('C0005', 0.9271524635204714), ('C0040', 0.7957440271770984), ('C0140', 0.766609083031755)]"
C0008,"[('C0065', 0.8365803505743955), ('C0156', 0.7472396970816853), ('C0109', 0.7260492694269917)]"
C0009,"[('C0061', 0.9284990231871001), ('C0062', 0.7837616896004123), ('C0058', 0.7578155874207212)]"
C0010,"[('C0062', 0.9190097305640931), ('C0060', 0.8600644543470476), ('C0121', 0.8258329346033677)]"
C0011,"[('C0171', 0.8949100426516186), ('C0118', 0.8904049429149102), ('C0153', 0.8730227376826993)]"
C0012,"[('C0195', 0.9041557931178473), ('C0065', 0.7832290352658341), ('C0163', 0.772928415124325)]"
C0013,"[('C0087', 0.8234921577064057), ('C0099', 0.823028932767524), ('C0143', 0.7889684474467545)]"
C0014,"[('C0097', 0.9014392808354121), ('C0151', 0.8939020732565944), ('C0063', 0.8650238743750743)]"
C0015,"[('C0058', 0.8805008315676112), ('C0185', 0.8574638338019225), ('C0078', 0.8173475024057825)]"
C0016,"[('C0042', 0.8235824094626997), ('C0183', 0.8219092045301845), ('C0050', 0.7453038263859968)]"
C0017,"[('C0075', 0.9396768307077644), ('C0041', 0.9062109656952076), ('C0081', 0.8569265393318614)]"
C0018,"[('C0117', 0.9106821914983928), ('C0046', 0.8926513219227127), ('C0194', 0.8441477875925912)]"
C0019,"[('C0073', 0.7435203634090912), ('C0132', 0.7268078732723044), ('C0070', 0.7152204315590537)]"
C0020,"[('C0058', 0.8188006342288382), ('C0015', 0.8060377292490062), ('C0130', 0.7784887219630722)]"
